m,Cost,Algorithm
11,5.0,Gurobi
11,2.0,Gurobi
11,12.0,Gurobi
11,16.0,Gurobi
11,10.0,Gurobi
11,15.0,Gurobi
11,13.0,Gurobi
11,13.0,Gurobi
11,11.0,Gurobi
11,4.0,Gurobi
11,7.0,Gurobi
11,7.0,Gurobi
11,1.0,Gurobi
11,6.0,Gurobi
11,1.0,Gurobi
11,1.0,Gurobi
11,2.0,Gurobi
11,9.0,Gurobi
12,14.0,Gurobi
12,3.0,Gurobi
12,81.0,Gurobi
12,5.0,Gurobi
12,8.0,Gurobi
12,23.0,Gurobi
12,154.0,Gurobi
12,34.0,Gurobi
12,24.0,Gurobi
12,5.0,Gurobi
12,1.0,Gurobi
12,24.0,Gurobi
12,13.0,Gurobi
12,33.0,Gurobi
12,13.0,Gurobi
12,2.0,Gurobi
12,8.0,Gurobi
12,5.0,Gurobi
12,26.0,Gurobi
12,13.0,Gurobi
12,23.0,Gurobi
12,40.0,Gurobi
12,2.0,Gurobi
12,23.0,Gurobi
12,14.0,Gurobi
13,32.0,Gurobi
13,115.0,Gurobi
13,54.0,Gurobi
13,32.0,Gurobi
13,53.0,Gurobi
13,31.0,Gurobi
13,10.0,Gurobi
13,27.0,Gurobi
13,47.0,Gurobi
13,27.0,Gurobi
13,20.0,Gurobi
13,38.0,Gurobi
13,7.0,Gurobi
13,31.0,Gurobi
13,13.0,Gurobi
13,16.0,Gurobi
13,39.0,Gurobi
13,18.0,Gurobi
13,6.0,Gurobi
13,13.0,Gurobi
13,24.0,Gurobi
13,102.0,Gurobi
13,20.0,Gurobi
13,111.0,Gurobi
13,87.0,Gurobi
14,18.0,Gurobi
14,61.0,Gurobi
14,144.0,Gurobi
14,118.0,Gurobi
14,87.0,Gurobi
14,45.0,Gurobi
14,45.0,Gurobi
14,128.0,Gurobi
14,27.0,Gurobi
14,63.0,Gurobi
14,106.0,Gurobi
14,25.0,Gurobi
14,30.0,Gurobi
14,67.0,Gurobi
14,16.0,Gurobi
14,56.0,Gurobi
14,3.0,Gurobi
14,1.0,Gurobi
14,79.0,Gurobi
14,150.0,Gurobi
14,212.0,Gurobi
14,16.0,Gurobi
14,84.0,Gurobi
14,103.0,Gurobi
14,110.0,Gurobi
15,9.0,Gurobi
15,8.0,Gurobi
15,343.0,Gurobi
15,630.0,Gurobi
15,26.0,Gurobi
15,114.0,Gurobi
15,117.0,Gurobi
15,219.0,Gurobi
15,28.0,Gurobi
15,321.0,Gurobi
15,55.0,Gurobi
15,226.0,Gurobi
15,33.0,Gurobi
15,154.0,Gurobi
15,42.0,Gurobi
15,170.0,Gurobi
15,46.0,Gurobi
15,65.0,Gurobi
15,315.0,Gurobi
15,39.0,Gurobi
15,142.0,Gurobi
15,451.0,Gurobi
15,283.0,Gurobi
15,84.0,Gurobi
15,163.0,Gurobi
16,534.0,Gurobi
16,14.0,Gurobi
16,145.0,Gurobi
16,265.0,Gurobi
16,79.0,Gurobi
16,198.0,Gurobi
16,863.0,Gurobi
16,170.0,Gurobi
16,974.0,Gurobi
16,96.0,Gurobi
16,290.0,Gurobi
16,99.0,Gurobi
16,98.0,Gurobi
16,21.0,Gurobi
16,89.0,Gurobi
16,540.0,Gurobi
16,164.0,Gurobi
16,127.0,Gurobi
16,12.0,Gurobi
16,11.0,Gurobi
16,447.0,Gurobi
16,988.0,Gurobi
16,165.0,Gurobi
16,80.0,Gurobi
16,112.0,Gurobi
17,143.0,Gurobi
17,296.0,Gurobi
17,23.0,Gurobi
17,46.0,Gurobi
17,912.0,Gurobi
17,1928.0,Gurobi
17,1285.0,Gurobi
17,1700.0,Gurobi
17,288.0,Gurobi
17,69.0,Gurobi
17,1210.0,Gurobi
17,2653.0,Gurobi
17,11.0,Gurobi
17,1208.0,Gurobi
17,192.0,Gurobi
17,319.0,Gurobi
17,248.0,Gurobi
17,1659.0,Gurobi
17,86.0,Gurobi
17,290.0,Gurobi
17,65.0,Gurobi
17,128.0,Gurobi
17,272.0,Gurobi
17,421.0,Gurobi
17,774.0,Gurobi
18,1702.0,Gurobi
18,818.0,Gurobi
18,2087.0,Gurobi
18,2155.0,Gurobi
18,2288.0,Gurobi
18,6701.0,Gurobi
18,235.0,Gurobi
18,1365.0,Gurobi
18,3725.0,Gurobi
18,671.0,Gurobi
18,674.0,Gurobi
18,331.0,Gurobi
18,2003.0,Gurobi
18,491.0,Gurobi
18,208.0,Gurobi
18,1759.0,Gurobi
18,57.0,Gurobi
18,65.0,Gurobi
18,165.0,Gurobi
18,643.0,Gurobi
18,956.0,Gurobi
