n,Cost,Algorithm
12,0.0,Gurobi
12,1.0,Gurobi
12,1.0,Gurobi
12,1.0,Gurobi
12,1.0,Gurobi
12,1.0,Gurobi
12,1.0,Gurobi
12,0.0,Gurobi
12,1.0,Gurobi
12,0.0,Gurobi
13,1.0,Gurobi
13,0.0,Gurobi
13,1.0,Gurobi
13,1.0,Gurobi
13,1.0,Gurobi
13,1.0,Gurobi
13,1.0,Gurobi
13,1.0,Gurobi
13,0.0,Gurobi
13,1.0,Gurobi
13,0.0,Gurobi
13,0.0,Gurobi
13,1.0,Gurobi
13,0.0,Gurobi
13,0.0,Gurobi
13,0.0,Gurobi
13,0.0,Gurobi
13,1.0,Gurobi
13,1.0,Gurobi
13,1.0,Gurobi
13,0.0,Gurobi
13,0.0,Gurobi
13,0.0,Gurobi
13,1.0,Gurobi
13,0.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
14,0.0,Gurobi
14,0.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
14,0.0,Gurobi
14,1.0,Gurobi
14,0.0,Gurobi
15,1.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
15,0.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
15,0.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
15,1.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
15,1.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
15,1.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
15,0.0,Gurobi
15,1.0,Gurobi
15,0.0,Gurobi
16,1.0,Gurobi
16,0.0,Gurobi
16,1.0,Gurobi
16,0.0,Gurobi
16,0.0,Gurobi
16,0.0,Gurobi
16,0.0,Gurobi
16,0.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,0.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,0.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,1.0,Gurobi
16,0.0,Gurobi
16,0.0,Gurobi
16,0.0,Gurobi
2,80,Greedy
2,5,Greedy
2,32,Greedy
2,58,Greedy
2,212,Greedy
2,84,Greedy
2,121,Greedy
2,114,Greedy
2,55,Greedy
2,82,Greedy
2,71,Greedy
2,9,Greedy
2,40,Greedy
2,96,Greedy
2,26,Greedy
2,85,Greedy
2,12,Greedy
2,108,Greedy
2,142,Greedy
2,7,Greedy
2,182,Greedy
2,29,Greedy
2,12,Greedy
2,12,Greedy
2,155,Greedy
3,86,Greedy
3,94,Greedy
3,80,Greedy
3,146,Greedy
3,45,Greedy
3,12,Greedy
3,93,Greedy
3,80,Greedy
3,53,Greedy
3,31,Greedy
3,10,Greedy
3,68,Greedy
3,124,Greedy
3,25,Greedy
3,117,Greedy
3,51,Greedy
3,15,Greedy
3,34,Greedy
3,24,Greedy
3,175,Greedy
3,31,Greedy
3,26,Greedy
3,16,Greedy
3,62,Greedy
3,46,Greedy
4,111,Greedy
4,0,Greedy
4,55,Greedy
4,34,Greedy
4,64,Greedy
4,5,Greedy
4,9,Greedy
4,1,Greedy
4,1,Greedy
4,170,Greedy
4,59,Greedy
4,7,Greedy
4,8,Greedy
4,17,Greedy
4,5,Greedy
4,49,Greedy
4,14,Greedy
4,27,Greedy
4,100,Greedy
4,11,Greedy
4,11,Greedy
4,2,Greedy
4,46,Greedy
4,51,Greedy
4,16,Greedy
5,7,Greedy
5,104,Greedy
5,34,Greedy
5,76,Greedy
5,7,Greedy
5,14,Greedy
5,43,Greedy
5,39,Greedy
5,51,Greedy
5,71,Greedy
5,5,Greedy
5,4,Greedy
5,4,Greedy
5,106,Greedy
5,102,Greedy
5,10,Greedy
5,46,Greedy
5,77,Greedy
5,114,Greedy
5,10,Greedy
5,0,Greedy
5,67,Greedy
5,60,Greedy
5,47,Greedy
5,28,Greedy
6,24,Greedy
6,21,Greedy
6,46,Greedy
6,9,Greedy
6,26,Greedy
6,44,Greedy
6,2,Greedy
6,35,Greedy
6,19,Greedy
6,11,Greedy
6,2,Greedy
6,26,Greedy
6,32,Greedy
6,11,Greedy
6,16,Greedy
6,21,Greedy
6,53,Greedy
6,9,Greedy
6,57,Greedy
6,4,Greedy
6,27,Greedy
6,11,Greedy
6,29,Greedy
6,42,Greedy
6,6,Greedy
7,4,Greedy
7,7,Greedy
7,33,Greedy
7,16,Greedy
7,134,Greedy
7,4,Greedy
7,6,Greedy
7,17,Greedy
7,8,Greedy
7,11,Greedy
7,13,Greedy
7,9,Greedy
7,37,Greedy
7,0,Greedy
7,41,Greedy
7,14,Greedy
7,20,Greedy
7,34,Greedy
7,29,Greedy
7,2,Greedy
7,24,Greedy
7,79,Greedy
7,8,Greedy
7,8,Greedy
7,15,Greedy
8,35,Greedy
8,15,Greedy
8,20,Greedy
8,59,Greedy
8,1,Greedy
8,37,Greedy
8,3,Greedy
8,18,Greedy
8,14,Greedy
8,0,Greedy
8,8,Greedy
8,7,Greedy
8,5,Greedy
8,97,Greedy
8,5,Greedy
8,1,Greedy
8,11,Greedy
8,9,Greedy
8,1,Greedy
8,115,Greedy
8,18,Greedy
8,52,Greedy
8,4,Greedy
8,20,Greedy
8,8,Greedy
9,7,Greedy
9,65,Greedy
9,9,Greedy
9,15,Greedy
9,0,Greedy
9,28,Greedy
9,9,Greedy
9,2,Greedy
9,54,Greedy
9,12,Greedy
9,10,Greedy
9,13,Greedy
9,30,Greedy
9,80,Greedy
9,6,Greedy
9,40,Greedy
9,3,Greedy
9,31,Greedy
9,8,Greedy
9,70,Greedy
9,7,Greedy
9,21,Greedy
9,6,Greedy
9,22,Greedy
9,7,Greedy
10,20,Greedy
10,21,Greedy
10,28,Greedy
10,12,Greedy
10,1,Greedy
10,33,Greedy
10,24,Greedy
10,39,Greedy
10,47,Greedy
10,21,Greedy
10,13,Greedy
10,7,Greedy
10,26,Greedy
10,2,Greedy
10,23,Greedy
10,10,Greedy
10,1,Greedy
10,26,Greedy
10,1,Greedy
10,12,Greedy
10,9,Greedy
10,14,Greedy
10,4,Greedy
10,5,Greedy
10,19,Greedy
11,22,Greedy
11,29,Greedy
11,27,Greedy
11,14,Greedy
11,19,Greedy
11,1,Greedy
11,9,Greedy
11,60,Greedy
11,14,Greedy
11,8,Greedy
11,100,Greedy
11,10,Greedy
11,40,Greedy
11,24,Greedy
11,11,Greedy
11,1,Greedy
11,18,Greedy
11,6,Greedy
11,26,Greedy
11,12,Greedy
11,12,Greedy
11,8,Greedy
11,27,Greedy
11,9,Greedy
11,17,Greedy
12,15,Greedy
12,18,Greedy
12,5,Greedy
12,4,Greedy
12,41,Greedy
12,23,Greedy
12,4,Greedy
12,12,Greedy
12,23,Greedy
12,45,Greedy
12,6,Greedy
12,4,Greedy
12,2,Greedy
12,8,Greedy
12,21,Greedy
12,0,Greedy
12,3,Greedy
12,17,Greedy
12,1,Greedy
12,3,Greedy
12,5,Greedy
12,31,Greedy
12,22,Greedy
12,5,Greedy
12,6,Greedy
13,9,Greedy
13,12,Greedy
13,13,Greedy
13,1,Greedy
13,55,Greedy
13,15,Greedy
13,5,Greedy
13,73,Greedy
13,8,Greedy
13,19,Greedy
13,4,Greedy
13,26,Greedy
13,57,Greedy
13,6,Greedy
13,32,Greedy
13,6,Greedy
13,2,Greedy
13,21,Greedy
13,15,Greedy
13,3,Greedy
13,0,Greedy
13,0,Greedy
13,10,Greedy
13,3,Greedy
13,26,Greedy
14,0,Greedy
14,9,Greedy
14,6,Greedy
14,19,Greedy
14,28,Greedy
14,10,Greedy
14,4,Greedy
14,10,Greedy
14,3,Greedy
14,2,Greedy
14,7,Greedy
14,28,Greedy
14,7,Greedy
14,0,Greedy
14,18,Greedy
14,7,Greedy
14,2,Greedy
14,21,Greedy
14,15,Greedy
14,32,Greedy
14,5,Greedy
14,58,Greedy
14,4,Greedy
14,5,Greedy
14,16,Greedy
15,1,Greedy
15,21,Greedy
15,32,Greedy
15,8,Greedy
15,7,Greedy
15,0,Greedy
15,6,Greedy
15,3,Greedy
15,36,Greedy
15,1,Greedy
15,1,Greedy
15,16,Greedy
15,9,Greedy
15,2,Greedy
15,23,Greedy
15,9,Greedy
15,6,Greedy
15,5,Greedy
15,1,Greedy
15,6,Greedy
15,5,Greedy
15,8,Greedy
15,10,Greedy
15,3,Greedy
15,4,Greedy
16,31,Greedy
16,0,Greedy
16,11,Greedy
16,2,Greedy
16,8,Greedy
16,38,Greedy
16,4,Greedy
16,4,Greedy
16,1,Greedy
16,1,Greedy
16,2,Greedy
16,21,Greedy
16,49,Greedy
16,1,Greedy
16,1,Greedy
16,22,Greedy
16,41,Greedy
16,17,Greedy
16,13,Greedy
16,9,Greedy
16,11,Greedy
16,1,Greedy
16,8,Greedy
16,12,Greedy
16,0,Greedy
2,80,Complete Greedy
2,5,Complete Greedy
2,32,Complete Greedy
2,58,Complete Greedy
2,212,Complete Greedy
